,chembl_compound,uniprot_id,drugbankId
2989,CHEMBL.COMPOUND:CHEMBL1980297,UniProtKB:P07948,DB11694
2990,CHEMBL.COMPOUND:CHEMBL1980297,UniProtKB:P06239,DB11694
2991,CHEMBL.COMPOUND:CHEMBL1980297,UniProtKB:P12931,DB11694
2992,CHEMBL.COMPOUND:CHEMBL1980297,UniProtKB:P42685,DB11694
2993,CHEMBL.COMPOUND:CHEMBL1980297,UniProtKB:P07947,DB11694
2994,CHEMBL.COMPOUND:CHEMBL1980297,UniProtKB:P09619,DB11694
2995,CHEMBL.COMPOUND:CHEMBL1980297,UniProtKB:P35916,DB11694
2996,CHEMBL.COMPOUND:CHEMBL1980297,UniProtKB:P06241,DB11694
2997,CHEMBL.COMPOUND:CHEMBL1980297,UniProtKB:Q9H3Y6,DB11694
2998,CHEMBL.COMPOUND:CHEMBL1980297,UniProtKB:P35968,DB11694
2999,CHEMBL.COMPOUND:CHEMBL3545029,UniProtKB:Q9Y5N1,DB15192
3000,CHEMBL.COMPOUND:CHEMBL1201124,UniProtKB:P35354,
3001,CHEMBL.COMPOUND:CHEMBL1201124,UniProtKB:P23219,
3002,CHEMBL.COMPOUND:CHEMBL1701,UniProtKB:P35372,
3003,CHEMBL.COMPOUND:CHEMBL85,UniProtKB:P14416,DB00734
3004,CHEMBL.COMPOUND:CHEMBL85,UniProtKB:P28335,DB00734
3005,CHEMBL.COMPOUND:CHEMBL85,UniProtKB:P28223,DB00734
3006,CHEMBL.COMPOUND:CHEMBL3647536,UniProtKB:P14867,
3007,CHEMBL.COMPOUND:CHEMBL3647536,UniProtKB:Q9UN88,
3008,CHEMBL.COMPOUND:CHEMBL3647536,UniProtKB:P47869,
3009,CHEMBL.COMPOUND:CHEMBL3647536,UniProtKB:O00591,
3010,CHEMBL.COMPOUND:CHEMBL3647536,UniProtKB:Q16445,
3011,CHEMBL.COMPOUND:CHEMBL3647536,UniProtKB:O14764,
3012,CHEMBL.COMPOUND:CHEMBL3647536,UniProtKB:P48169,
3013,CHEMBL.COMPOUND:CHEMBL3647536,UniProtKB:P31644,
3014,CHEMBL.COMPOUND:CHEMBL3647536,UniProtKB:Q99928,
3015,CHEMBL.COMPOUND:CHEMBL3647536,UniProtKB:P18507,
3016,CHEMBL.COMPOUND:CHEMBL3647536,UniProtKB:P18505,
3017,CHEMBL.COMPOUND:CHEMBL3647536,UniProtKB:P28472,
3018,CHEMBL.COMPOUND:CHEMBL3647536,UniProtKB:P47870,
3019,CHEMBL.COMPOUND:CHEMBL3647536,UniProtKB:Q8N1C3,
3020,CHEMBL.COMPOUND:CHEMBL3647536,UniProtKB:P78334,
3021,CHEMBL.COMPOUND:CHEMBL3647536,UniProtKB:P34903,
3022,CHEMBL.COMPOUND:CHEMBL4297447,UniProtKB:P30556,DB12199
3023,CHEMBL.COMPOUND:CHEMBL142635,UniProtKB:P25100,DB12092
3024,CHEMBL.COMPOUND:CHEMBL1396,UniProtKB:P43681,DB01273
3025,CHEMBL.COMPOUND:CHEMBL1396,UniProtKB:P17787,DB01273
3026,CHEMBL.COMPOUND:CHEMBL4594419,UniProtKB:P41597,
3027,CHEMBL.COMPOUND:CHEMBL4594419,UniProtKB:P51681,
3028,CHEMBL.COMPOUND:CHEMBL463981,UniProtKB:P49810,DB12263
3029,CHEMBL.COMPOUND:CHEMBL463981,UniProtKB:Q9NZ42,DB12263
3030,CHEMBL.COMPOUND:CHEMBL463981,UniProtKB:Q96BI3,DB12263
3031,CHEMBL.COMPOUND:CHEMBL463981,UniProtKB:P49768,DB12263
3032,CHEMBL.COMPOUND:CHEMBL463981,UniProtKB:Q92542,DB12263
3033,CHEMBL.COMPOUND:CHEMBL463981,UniProtKB:Q8WW43,DB12263
3034,CHEMBL.COMPOUND:CHEMBL1287853,UniProtKB:O60674,DB12500
3035,CHEMBL.COMPOUND:CHEMBL1287853,UniProtKB:P36888,DB12500
3036,CHEMBL.COMPOUND:CHEMBL3948730,UniProtKB:P49674,DB14989
